City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,sokoni,-6.9041,40.5556,27.46,75,100,5.16,TZ,1675898259
166,bollnas,61.4919,15.8587,2.49,86,100,9.6,SE,1675898259
167,vecses,47.4192,19.3074,-1.26,80,0,0.0,HU,1675898259
168,pau dos ferros,-6.1632,-38.1156,26.66,41,79,1.06,BR,1675898260
169,vestmannaeyjar,59.0294,-17.8605,4.94,65,100,20.78,Unknown,1675898260
170,salalah,16.7184,54.3284,21.14,75,82,2.92,OM,1675898260
171,nome,66.3745,-166.065,-23.97,77,100,1.54,US,1675898261
172,marzuq,25.094,16.0993,16.75,21,99,3.82,LY,1675898261
173,harihar,14.4136,75.8204,21.81,49,94,2.35,IN,1675898261
174,mount isa,-24.0637,141.5813,28.88,44,24,6.41,Unknown,1675898261
175,cape town,-47.9947,9.2482,6.49,92,19,9.4,Unknown,1675898262
176,choucheng,29.618,119.833,5.15,97,100,0.99,CN,1675898262
177,micheweni,-4.491,41.1331,26.81,78,49,6.54,Unknown,1675898262
178,russell,-30.7541,178.2349,22.12,76,5,0.82,Unknown,1675898263
179,port lincoln,-47.2713,128.2029,11.55,88,100,7.42,Unknown,1675898263
180,tholen,51.5183,4.1137,1.7,58,100,1.54,NL,1675898263
181,byron bay,-29.0604,156.8204,23.21,67,4,7.8,Unknown,1675898264
182,gat,23.107,8.2534,15.31,20,74,3.7,Unknown,1675898264
183,tallmadge,41.0205,-81.379,7.0,67,100,2.17,US,1675898264
184,meulaboh,-5.7094,88.0543,27.02,82,100,9.61,Unknown,1675898265
185,jackson,42.3713,-110.5503,-9.34,88,91,9.49,US,1675898265
186,baykit,62.3775,96.1098,-19.08,99,100,0.93,RU,1675898265
187,gemena,3.3099,19.2153,23.62,26,17,0.57,CD,1675898266
188,kalakamati,-20.4084,27.0952,19.8,66,48,2.38,BW,1675898266
189,iwanai,43.7284,139.9057,-4.88,56,100,12.82,JP,1675898266
190,bjornevatn,69.2633,29.6978,0.03,78,99,12.77,RU,1675898267
191,attawapiskat,60.4554,-78.4339,-27.2,99,6,5.97,CA,1675898267
192,ketchikan,49.3225,-136.2433,9.44,91,100,14.01,Unknown,1675898267
193,bandar,1.9313,99.5152,21.25,94,100,1.06,ID,1675898268
194,guerrero negro,17.2032,-130.7147,22.05,76,94,9.4,Unknown,1675898268
195,komsomolskiy,71.0107,172.8866,-28.65,93,100,1.58,Unknown,1675898268
196,oussouye,11.2393,-19.872,22.84,71,9,5.81,Unknown,1675898269
197,phangnga,8.8778,96.6537,27.47,76,98,6.12,Unknown,1675898269
198,port macquarie,-32.5823,161.6498,21.6,63,0,4.33,Unknown,1675898269
199,hay river,65.0009,-119.7672,-19.73,95,72,1.06,Unknown,1675898270
200,edd,13.6555,42.0459,24.49,77,0,4.74,ER,1675898270
201,kandalaksha,67.2113,31.7867,-1.5,87,100,7.16,RU,1675898270
202,scottsburgh,-33.2571,35.6189,23.84,89,100,6.67,Unknown,1675898270
203,katherine,-14.0052,131.413,27.74,80,85,1.72,AU,1675898271
204,peleduy,59.7545,112.4446,-20.06,99,100,1.25,RU,1675898271
205,langarud,37.0961,50.166,4.8,91,100,3.42,IR,1675898271
206,oranjestad,15.0421,-69.738,25.64,79,0,11.19,Unknown,1675898272
207,cherskiy,89.0929,162.3243,-23.33,85,75,10.44,Unknown,1675898272
208,mizque,-17.6789,-65.2365,9.66,79,99,1.29,BO,1675898272
209,izhma,64.6546,53.8049,-3.84,83,99,5.03,RU,1675898273
210,angoram,-3.4019,144.8535,26.79,85,100,9.66,PG,1675898273
211,bushehr,28.4717,49.4416,16.9,53,100,10.89,SA,1675898273
212,kwaluseni,-26.5117,31.3431,20.02,99,100,1.89,SZ,1675898273
213,ilulissat,68.3131,-46.5747,-35.19,71,11,8.62,Unknown,1675898274
214,ruatoria,-36.1791,179.9264,19.52,68,1,10.03,Unknown,1675898274
215,kerteh,4.1116,106.5727,25.85,85,26,4.42,Unknown,1675898274
216,whitianga,-36.837,175.6125,19.67,53,27,5.52,NZ,1675898275
217,lushunkou,39.0024,121.1455,0.68,47,100,3.27,CN,1675898275
218,cloquet,46.5707,-92.6028,6.47,56,0,3.6,US,1675898275
219,cervo,46.6918,-8.3109,10.4,73,51,3.13,Unknown,1675898276
220,we,-20.4107,167.5328,27.73,83,99,11.4,NC,1675898276
221,barentsburg,83.4464,1.3711,-5.7,93,100,16.45,Unknown,1675898276
222,narsaq,89.753,-62.8739,-20.93,95,100,11.31,Unknown,1675898276
223,sitka,41.0673,-143.4075,10.62,80,100,17.26,Unknown,1675898277
224,ishigaki,22.1671,123.9072,22.96,75,100,7.19,Unknown,1675898277
225,pacific grove,27.2681,-134.7567,17.79,69,99,8.08,Unknown,1675898277
226,sommerda,51.2378,11.0725,-1.42,76,0,1.81,DE,1675898278
227,san patricio,0.5146,-114.7531,24.9,83,10,3.41,Unknown,1675898278
228,yenagoa,0.6291,3.4703,27.01,78,68,1.09,Unknown,1675898278
229,leningradskiy,78.9663,179.5256,-29.57,98,77,3.24,Unknown,1675898279
230,platteville,43.0077,-90.7415,7.34,46,0,0.0,US,1675898279
231,geraldton,-30.803,106.1927,20.13,79,1,5.22,Unknown,1675898279
232,bowen,-17.6269,152.2989,27.01,91,100,18.92,Unknown,1675898280
233,airai,10.2986,143.5209,27.86,75,92,8.91,Unknown,1675898280
234,omboue,-5.1024,3.4615,27.25,78,99,6.49,Unknown,1675898280
235,toora-khem,51.9256,96.9067,-17.43,97,100,1.63,RU,1675898281
236,agucadoura,41.1404,-10.1337,14.28,68,5,9.39,PT,1675898281
237,pauna,5.5939,-73.9172,10.29,87,66,0.94,CO,1675898281
238,tabuk,27.4494,37.4679,4.77,56,100,2.68,SA,1675898282
239,beswan,27.6664,77.7912,12.56,42,2,2.92,IN,1675898283
240,zhezkazgan,47.0445,65.9209,-16.63,89,39,4.76,KZ,1675898285
241,alofi,-19.1139,-170.189,30.38,79,98,5.01,NU,1675898286
242,chabahar,26.2062,59.4482,18.44,72,15,0.6,IR,1675898286
243,san quintin,25.9814,-119.3493,16.47,63,4,7.33,Unknown,1675898287
244,manacapuru,-2.5103,-61.2049,23.38,97,85,1.11,BR,1675898288
245,kafanchan,9.0807,8.4081,23.13,17,96,2.2,NG,1675898288
246,saint-joseph,-30.3983,56.0255,23.08,68,36,4.37,Unknown,1675898288
247,grand river south east,-26.3432,83.0995,22.81,78,97,10.32,Unknown,1675898289
248,tamboril,-4.6671,-40.0873,23.41,50,90,0.54,BR,1675898289
249,winona,43.8798,-91.6292,5.06,89,57,1.89,US,1675898290
250,aitape,0.0959,143.4091,27.04,81,100,5.88,Unknown,1675898290
251,ponta do sol,23.4694,-26.1651,20.12,61,97,6.79,Unknown,1675898291
252,camacha,37.9748,-18.2357,14.04,64,71,11.51,Unknown,1675898291
253,borogontsy,63.2131,131.7262,-48.23,100,100,0.99,RU,1675898291
254,karacakoy,41.3627,28.4527,5.51,72,100,9.23,TR,1675898291
255,cahors,44.6376,1.2992,2.71,88,56,1.52,FR,1675898292
256,sembakung,3.3897,115.9581,12.8,96,73,0.96,ID,1675898292
257,phalodi,26.7444,72.3851,19.0,21,3,4.22,IN,1675898293
258,chuy,-66.2638,-18.5941,-0.53,87,100,14.63,Unknown,1675898293
259,mnogovershinnyy,56.3671,140.9538,-27.75,100,100,3.1,Unknown,1675898294
260,shangzhi,44.6328,127.8002,-18.25,98,23,1.43,CN,1675898294
261,saint-philippe,-47.1028,64.8316,9.8,93,100,13.13,Unknown,1675898294
262,emba,49.023,58.4848,-22.95,96,6,2.0,KZ,1675898295
263,nizwa,23.6179,57.2045,22.1,57,1,0.31,OM,1675898295
264,gasa,28.4748,90.3592,-10.21,28,0,3.97,CN,1675898296
265,henties bay,-23.0388,6.7625,21.39,76,84,8.21,Unknown,1675898296
266,harper,-1.7952,-10.3941,26.87,78,71,4.06,Unknown,1675898297
267,roald,67.6972,3.9964,2.59,63,85,10.95,Unknown,1675898297
268,pleasant point,-43.919,171.151,12.32,47,17,2.32,NZ,1675898298
269,chagda,59.8181,130.4335,-36.95,100,100,0.8,RU,1675898298
270,broome,-18.1672,125.3155,28.43,70,9,4.99,AU,1675898298
271,nacozari,30.569,-109.8166,13.53,18,34,2.34,MX,1675898299
272,horsham,-37.1766,142.253,24.28,31,1,1.05,AU,1675898299
273,san miguel,-1.0153,-78.5968,15.75,81,75,7.2,EC,1675898300
274,ayagoz,48.6078,78.0508,-12.49,91,100,5.63,KZ,1675898300
275,codrington,26.6512,-46.342,21.9,66,9,4.45,Unknown,1675898301
276,yelanskiy,57.0836,62.5844,-9.41,92,100,4.05,RU,1675898301
277,viet tri,21.3519,105.2859,21.5,95,100,2.24,VN,1675898301
278,marsh harbour,30.4302,-74.1575,18.32,60,44,1.11,Unknown,1675898302
279,maues,-4.7795,-57.674,23.06,97,35,1.26,Unknown,1675898302
280,grindavik,59.0735,-23.2261,4.37,75,100,17.81,Unknown,1675898302
281,castro,-45.0157,-80.9983,12.9,72,55,10.08,Unknown,1675898303
282,kangaatsiaq,69.3337,-53.8471,-28.61,68,1,3.58,GL,1675898303
283,aklavik,76.2626,-141.0314,-34.69,100,25,1.7,Unknown,1675898304
284,mahebourg,-36.6833,72.4767,17.88,67,100,3.21,Unknown,1675898304
285,kieta,0.9583,160.3608,27.82,77,66,9.02,Unknown,1675898305
286,abalak,15.6387,6.4831,21.34,18,99,4.82,NE,1675898305
287,kirensk,58.5289,107.4558,-14.25,97,100,1.53,RU,1675898306
288,qui nhon,14.7957,111.9929,25.15,85,83,3.83,Unknown,1675898306
289,shimoda,26.3169,140.5664,19.19,61,75,6.32,Unknown,1675898306
290,okhotsk,57.371,145.5049,-24.75,99,100,4.69,Unknown,1675898307
291,luderitz,-27.5244,11.5829,20.64,81,0,10.31,Unknown,1675898307
292,tiksi,73.6242,129.6058,-33.29,99,100,1.79,Unknown,1675898308
293,balabac,8.8051,113.5009,26.19,84,79,6.62,Unknown,1675898308
294,sentyabrskiy,40.1267,152.0273,3.19,63,100,13.33,Unknown,1675898308
295,pisco,-14.6275,-78.8716,24.51,79,11,7.19,Unknown,1675898309
296,naryan-mar,68.4579,49.7048,-1.37,81,100,13.17,RU,1675898309
297,saint pete beach,27.2702,-83.7821,21.99,72,18,2.7,US,1675898309
298,melito di porto salvo,37.89,16.0498,10.75,91,100,12.69,IT,1675898310
299,puerto escondido,9.8636,-100.3073,26.19,78,5,7.08,Unknown,1675898310
300,charlestown,16.1504,-63.6763,25.52,75,0,10.87,Unknown,1675898311
301,bardiyah,29.6536,25.5869,11.02,59,66,7.23,EG,1675898311
302,vardo,88.4984,36.1684,-21.92,94,100,11.84,Unknown,1675898312
303,karaul,69.1459,81.299,-17.47,94,100,8.16,Unknown,1675898312
304,rakitnoye,51.0175,35.9218,-11.58,96,56,2.38,RU,1675898312
305,itagi,-14.1258,-40.3653,21.69,63,83,3.97,BR,1675898313
306,buin,-8.556,154.1056,29.24,76,100,8.32,Unknown,1675898313
307,saint-georges,4.2393,-51.5615,24.26,91,87,3.92,GF,1675898314
308,lodwar,3.5654,35.9404,29.37,56,5,2.13,KE,1675898314
309,anshun,26.8971,106.1194,4.34,93,100,1.44,CN,1675898314
310,lumberton,34.5552,-78.4361,21.16,43,0,0.0,US,1675898315
311,lorengau,15.6445,150.7164,26.56,78,100,8.58,Unknown,1675898315
312,basco,20.1421,121.7036,24.73,76,100,10.14,PH,1675898316
313,vostok,52.5132,149.6439,-8.3,82,100,13.81,Unknown,1675898316
314,fairbanks,66.6189,-144.9644,-22.97,77,100,0.0,US,1675898316
315,gilbues,-9.1026,-45.3992,26.31,55,66,0.98,BR,1675898317
316,santiago del estero,-26.917,-63.7406,34.22,30,100,3.28,AR,1675898317
317,cuamba,-14.429,36.1894,19.83,96,99,0.79,MZ,1675898317
318,waingapu,-9.8239,120.6071,26.13,81,54,3.61,ID,1675898318
319,gubkinskiy,64.0996,76.3107,-15.43,93,100,8.14,RU,1675898318
320,coahuayana,0.5952,-112.1172,25.44,81,1,3.72,Unknown,1675898318
321,nioaque,-21.4781,-55.5743,21.13,95,99,2.67,BR,1675898319
322,eldorado,23.8039,-108.3487,18.56,63,0,11.07,MX,1675898319
323,nishihara,20.9767,134.0073,23.31,74,100,8.45,Unknown,1675898319
324,reyes,-12.8139,-67.6121,24.55,84,67,1.4,Unknown,1675898319
